section,field,value
meta,site_title,迈德瑞（淮安）智能装备科技有限公司
meta,site_subtitle,MagDrive · 面向熔盐与液态金属输送的高温磁力泵关键装备研发与产业化
meta,header_bg_color,#0a2540
meta,hero_bg_color,#0d3880
meta,hero_title_color,#ffffff
meta,nav_text,"产品展示,性能参数,使用方法,应用工况,联系我们"
meta,footer_text,"© 2026 迈德瑞（淮安）智能装备科技有限公司. All Rights Reserved. 统一社会信用代码: 91320891MAKML1457M"
product,section_title,核心特种流体装备与专利技术产品
product,section_description,攻克超高温、全静密封、耐磨陶瓷轴承等“卡脖子”技术，专注于为光热储能、先进核能、高端化工及特种冶金提供本质安全关键装备
product,text_position,above
product,image_count,4
product,image1_caption,超高温熔盐磁力泵 (最高耐温 850℃)
product,image1_description,全静密封零泄漏设计，从源头杜绝高温退磁与火灾风险，轴长仅1.5米替代传统20米长轴泵，合金用量减少80%，单台造价降本50%+
product,image2_caption,金属-陶瓷复合轴承 (发明专利号: CN121382800A)
product,image2_description,独家发明专利王牌产品，通过结构性复合攻克金属与陶瓷膨胀系数差异，500℃高温硬度达2400~2700 HV，耐磨寿命提升10倍以上
product,image3_caption,先进核能高温铅铋泵 / 锂铅合金泵
product,image3_description,专用于加速器次临界堆 (CiADS) 与第四代铅冷快堆回路，耐受480℃~550℃强辐射与高腐蚀，已批量交付中国原子能研究院
product,image4_caption,特种工况超高温阀门与流体测控集成
product,image4_description,超高温盲板阀、高温高压烟道挡板及传感器智能化测控系统，提供高温特种流体输送成套工程解决方案
performance,section_title,核心技术指标与国内外主流竞品综合对标
performance,section_description,三大关键技术突破：内外转子无磁钢驱动、金属-陶瓷复合轴承、全静密封+CFD自循环风冷，在耐温、安全与经济性上全面超越国内外竞品
performance,text_position,above
performance,image_count,3
performance,image1_caption,内外转子无磁钢驱动磁仿真与耐温特性
performance,image1_description,外转子交替磁路与铁磁内转子相位差扭矩传递，突破行业350℃退磁瓶颈，实现850℃超高温稳定连续运转
performance,image2_caption,CFD 热流耦合与外转子风扇轮毂自散热
performance,image2_description,电机带动外转子顶端风扇轮毂高速自旋转，小气隙大流速强制风冷，摆脱复杂外部冷却水系统与水处理成本
performance,image3_caption,传统长轴泵轴系共振与轴承磨损痛点对比
performance,image3_description,传统熔盐泵长达20米、9个导轴承极易热变形振动超标与烧瓦；迈德瑞仅1.5米紧凑轴长与2个复合轴承，振动极小
usage,section_title,标准安装指引、免水冷运行与全生命周期运维
usage,section_description,颠覆性紧凑结构大幅简化现场吊装与管路对接，全静密封与自循环风冷实现免日常维护，显著降低全生命周期综合成本
usage,text_position,above
usage,image_count,3
usage,image1_caption,紧凑型模块化安装与空间节省指引
usage,image1_description,整机轴长仅1.5米，无需传统20米长轴泵的高耸钢构支架与大型吊装作业，大幅减少占地面积与土建安装工程量
usage,image2_caption,自循环风冷无水运行与环境适应规范
usage,image2_description,启动即自散热，无需外接冷却水泵、冷却塔与水处理管路，避免北方严寒结冰与缺水地区冷却受限，可靠性极高
usage,image3_caption,静密封隔离套与复合轴承长效巡检规范
usage,image3_description,隔离套静态密封承压可靠，金属-陶瓷复合轴承硬度高达HV 2700且间隙恒定，理论实现无限运行寿命与极低故障率
application,section_title,四大战略应用场景与国家重大项目供货实绩
application,section_description,深度契合国家“双碳”战略与新质生产力，核心装备已在光热储能、先进核能、高端化工及特种冶金等重大工程中批量稳定运行
application,text_position,above
application,image_count,4
application,image1_caption,光热储能 (CSP) —— 565℃ 熔盐吸热与储能主循环
application,image1_description,适配塔式/槽式光热电站565℃高温二元熔盐主循环回路，解决传统泵低效易漏短板，保障储能电站连续安全运转
application,image2_caption,先进核能 (Nuclear) —— CiADS 次临界铅铋堆与聚变回路
application,image2_description,中国原子能院已供货12台高温铅铋泵、中科院合肥院供货2台，适配480℃~550℃核反应堆一/二回路冷却剂循环
application,image3_caption,高端化工 (Chemical) —— 350~400℃ 强腐蚀工艺输送
application,image3_description,适用于有机合成与精细化工高温熔盐换热及强酸强碱介质输送，全静密封杜绝危化品挥发与介质污染
application,image4_caption,特种冶金 (Metallurgy) —— 高温熔体与熔渣特种转移
application,image4_description,耐受高温熔液磨损与严苛腐蚀，在山东豪迈集团已供货7台并批量稳定运行，大幅提高产线连续作业率
contact,section_title,联系我们 & 工况参数在线选型定制
contact,section_description,迈德瑞技术专家团队为您提供 850℃ 超高温磁力泵与金属-陶瓷复合轴承选型支持、图纸对接与极速技术方案定制
contact,company_name,迈德瑞（淮安）智能装备科技有限公司
contact,phone,400-888-9999 / 0517-88886666
contact,email,sales@magdrive-tech.com
contact,address,江苏省淮安经济技术开发区南马厂街道内湖路82号经管站103室
contact,hours,周一至周五 08:30 - 18:00
contact,form_title,在线技术咨询与工况参数选型定制
contact,form_subtitle,请提交您的介质类型 (熔盐/液态金属/强酸碱)、运行温区、流量扬程或技术要求，工程师团队2小时内对接
contact,credit_code,91320891MAKML1457M
contact,legal_person,张剑
contact,registered_capital,450万元整
